state,democrat,republican,total,dem_percent,rep_percent,dem_lead,dem_percent_lead,total_pop
ALABAMA,849624,1441170,2323282,36.569990212122335,62.031643166864804,83521230,-25.46165295474247,5024279
ALASKA,153778,189951,359530,42.771952271020496,52.83314327038077,15187849,-10.061190999360278,733391
ARIZONA,1672143,1661686,3387326,49.364690614366616,49.055981030464736,165552614,0.3087095839018801,7151502
ARKANSAS,423932,760647,1219069,34.77506195301496,62.39572985614432,41632553,-27.62066790312936,3011524
CALIFORNIA,11110250,6006429,17500881,63.483946893873515,34.32072362528492,1105018571,29.163223268588595,39538223
COLORADO,1804352,1364607,3279980,55.011067140653296,41.60412563491241,179070593,13.406941505740889,5773714
CONNECTICUT,1080831,714717,1823857,59.260731515683524,39.187118288330716,107368383,20.07361322735281,3605944
DELAWARE,296268,200603,504346,58.743005793641665,39.77487677110555,29426197,18.96812902253611,989948
DISTRICT OF COLUMBIA,317323,18586,344356,92.14969392140692,5.397321376714795,31713714,86.75237254469212,689545
FLORIDA,5297045,5668731,11067456,47.86145072544223,51.21981962250403,524035769,-3.3583688970618013,21538187
GEORGIA,2473633,2461854,4999960,49.473055784446274,49.2374738997912,244901446,0.23558188465507612,10711908
HAWAII,366130,196864,579784,63.14937976901743,33.954714169414814,36416136,29.194665599602615,1455271
IDAHO,287021,554119,868014,33.06640215480395,63.837564831903634,28147981,-30.77116267709968,1839106
ILLINOIS,3471915,2446891,6033743,57.5416453766758,40.55345081817373,344744609,16.988194558502073,12812508
INDIANA,1242416,1729519,3033118,40.96167705971215,57.02115776570513,122512081,-16.059480705992975,6785528
IOWA,759061,897672,1700130,44.64723285866375,52.80019763194579,75008428,-8.152964773282044,3190369
KANSAS,570323,771406,1372303,41.55955353883217,56.212512834264736,56260894,-14.652959295432566,2937880
KENTUCKY,772474,1326646,2136768,36.151514811154044,62.086571869290445,75920754,-25.9350570581364,4505836
LOUISIANA,856034,1255776,2148062,39.85145680152621,58.46088241400854,84347624,-18.609425612482326,4657757
MAINE,435072,360737,828305,52.52557934577239,43.551228110418265,43146463,8.974351235354128,1362359
MARYLAND,1985023,976414,3037030,65.36066486007711,32.15029156774875,197525886,33.210373292328356,6177224
MASSACHUSETTS,2382202,1167202,3658005,65.12298370286535,31.90815758863096,237052998,33.2148261142344,7029917
MICHIGAN,2804040,2649852,5539302,50.62081829082437,47.83729069113762,277754148,2.7835275996867495,10077331
MINNESOTA,1717077,1484065,3277171,52.39509930974002,45.284942409169375,170223635,7.110156900570644,5706494
MISSISSIPPI,539398,756764,1313759,41.05760645597861,57.60295457538255,53183036,-16.54534811940394,2961279
MISSOURI,1253014,1718736,3025962,41.40878173618836,56.79965577888949,123582664,-15.390874042701128,6154913
MONTANA,244786,343602,603674,40.54936936160908,56.91846924002028,24134998,-16.3690998784112,1084225
NEBRASKA,374583,556846,956383,39.166630941787965,58.22416333205421,36901454,-19.057532390266246,1961504
NEVADA,703486,669890,1405376,50.05678195728403,47.66624732455941,69678710,2.3905346327246235,3104614
NEW HAMPSHIRE,424921,365654,806182,52.70782528014766,45.3562595046776,42126446,7.351565775470057,1377529
NEW JERSEY,2608335,1883274,4549353,57.334196752812986,41.396523857348505,258950226,15.93767289546448,9288994
NEW MEXICO,501614,401894,923965,54.289285849572224,43.49666924612945,49759506,10.792616603442774,2117522
NEW YORK,5230985,3244798,8661735,60.39188453583491,37.46129384009093,519853702,22.93059069574398,20201249
NORTH CAROLINA,2684292,2758773,5524802,48.586211777363246,49.93433248829551,265670427,-1.348120710932264,10439388
NORTH DAKOTA,114902,235595,361819,31.756762359080092,65.11404873707572,11254605,-33.35728637799563,779094
OHIO,2679165,3154834,5922202,45.239338340705025,53.27130010087464,264761666,-8.031961760169615,11799448
OKLAHOMA,503890,1020280,1560699,32.28617433598663,65.37327184806296,49368720,-33.087097512076326,3959353
OREGON,1340383,958448,2374321,56.453318654048886,40.367246046343354,133079852,16.086072607705532,4237256
PENNSYLVANIA,3458229,3377674,6915283,50.00849567544813,48.843612040172474,342445226,1.1648836352756575,13002700
RHODE ISLAND,307486,199922,516990,59.476198765933574,38.670380471575854,30548678,20.80581829435772,1097379
SOUTH CAROLINA,1091541,1385103,2514096,43.41683849781393,55.09348091719648,107768997,-11.676642419382553,5118425
SOUTH DAKOTA,150471,261043,422609,35.60525213613529,61.769389672250234,14786057,-26.164137536114943,886667
TENNESSEE,1143711,1852475,3053851,37.4514342710237,60.66029416628382,112518625,-23.20885989526012,6910840
TEXAS,5259126,5890347,11315056,46.47900991387051,52.05760360355265,520022253,-5.578593689682137,29145505
UTAH,560282,865140,1488289,37.64604858330606,58.129839029919594,55163060,-20.483790446613533,3271616
VERMONT,242820,112704,370968,65.45578055250049,30.38105712622113,24169296,35.074723426279355,643077
VIRGINIA,2413568,1962430,4460524,54.10951717780243,43.99550366728214,239394370,10.114013510520294,8631393
WASHINGTON,2369612,1584651,4087631,57.97030113530307,38.76697774334327,235376549,19.2033233919598,7705281
WEST VIRGINIA,235984,545382,794652,29.696521244519612,68.63155192461606,23053018,-38.935030680096446,1793716
WISCONSIN,1630866,1610184,3298041,49.44953686142774,48.822437319608824,161476416,0.6270995418189145,5893718
WYOMING,73491,193559,278503,26.3878665579904,69.49978994840271,7155541,-43.11192339041231,576851
